"35 Sweetbriar Drive, Smithtown, NY 11787",LISTING BY: SIGNATURE PREMIER PROPERTIES,"$528,000",3,2,--
"237 Philip Schuyler Road, Cobleskill, NY 12043",LISTING BY: HOWARD HANNA,"$315,000",3,2,"1,958"
"904 Parkway E, Utica, NY 13501","MLS ID #S1526891, LISTING BY: ASSIST2SELL BUYERS & SELLERS 1ST CHOICE","$449,900",3,3,"2,395"
"65 Green Street, Hudson, NY 12534","LISTING BY: COMPASS GREATER NY, LLC","$515,000",4,2,"1,700"
"43 Queen Street, Whitehall, NY 12887",LISTING BY: NY & VT REAL ESTATE COMPANY LL,"$194,500",3,2,"1,948"
"26 Apricot Road, Rocky Point, NY 11778",LISTING BY: SIGNATURE PREMIER PROPERTIES,"$389,000",3,1,--
"24005 147th Ave, Rosedale, NY 11422",LISTING BY: SOWAE CORP,"$250,000",4,2,"2,304"
"11 Clearwater Road, Highland, NY 12528","LISTING BY: COMPASS GREATER NY, LLC","$850,000",3,3,"3,257"
"30 Redbud Ct, East Amherst, NY 14051","MLS ID #B1526275, LISTING BY: HOWARD HANNA WNY INC","$249,900",4,3,"2,520"
"4 Wilderness Road, Nissequogue, NY 11780",LISTING BY: DANIEL GALE SOTHEBYS INTL RLTY,"$1,399,000",6,4,"4,800"
"15 Kirkwood Dr, Glen Cove, NY 11542",LISTING BY: SOWAE CORP,"$240,000",4,2,"2,462"
"101 Chestnut Heights Dr, Liverpool, NY 13088","MLS ID #S1526709, LISTING BY: INTEGRATED REAL ESTATE SER LLC","$280,000",4,3,"1,868"
"466 Colebrook Road, Gansevoort, NY 12831",LISTING BY: WEICHERT REALTORS-RELIABLE PROPERTIES,"$329,000",3,3,"1,658"
"409 North Ave, Penn Yan, NY 14527","MLS ID #R1526980, LISTING BY: WINE TRAIL PROPERTIES, LLC","$275,000",3,2,"1,560"
"95 W Maplemere Rd, Williamsville, NY 14221","MLS ID #B1525134, LISTING BY: MURCHIE REAL ESTATE, LLC","$499,900",4,3,"2,776"
"20 Fall Meadow Dr, Pittsford, NY 14534","MLS ID #R1526660, LISTING BY: KELLER WILLIAMS REALTY GREATER ROCHESTER","$715,000",5,5,"3,334"
"44 Pine Ridge Ter, Buffalo, NY 14225","MLS ID #B1525868, LISTING BY: WNY METRO ROBERTS REALTY","$199,900",4,3,"1,976"
"53 Geddes St, Holley, NY 14470","MLS ID #R1525894, LISTING BY: HOWARD HANNA","$119,900",3,2,"1,944"
"290 Toleman Road, Washingtonville, NY 10992",LISTING BY: BIAGINI REALTY,"$999,900",3,4,"3,205"
"43 Edward Ln, Spencerport, NY 14559","MLS ID #R1526939, LISTING BY: SIRIANNI REALTY LLC","$189,900",3,2,"2,112"
"49 Hilltop Dr, Springville, NY 14141","MLS ID #B1526728, LISTING BY: HOWARD HANNA WNY INC.","$425,000",4,3,"3,236"
"317 Salt Springs Rd, Syracuse, NY 13224","MLS ID #S1525886, LISTING BY: NEXTHOME CNY REALTY","$222,000",4,2,"2,638"
"26 Stratford Road, White Plains, NY 10603",LISTING BY: GRAND LUX REALTY BENCHMARK INC,"$735,000",4,4,"2,500"
"106 Elk St, Syracuse, NY 13205","MLS ID #S1525882, LISTING BY: HUNT REAL ESTATE ERA","$184,900",5,3,"1,920"
"128 N School St, Carthage, NY 13619","MLS ID #S1526419, LISTING BY: NORTH STAR REAL ESTATE & PROPERTY MANAGEMENT","$199,000",6,2,"3,010"
"11 Fran Road, Goshen, NY 10924",LISTING BY: KELLER WILLIAMS HUDSON VALLEY,"$549,000",4,3,"2,706"
"1458 Middle Road, Calverton, NY 11933",LISTING BY: SIGNATURE PREMIER PROPERTIES,"$1,350,000",3,1,"1,541"
"7663 Easton St, Lowville, NY 13367","MLS ID #S1526978, LISTING BY: HOMES REALTY OF NORTHERN NEW YORK","$339,000",5,2,"2,242"
"109 Ferndale Rd, Syracuse, NY 13219","MLS ID #S1526064, LISTING BY: HOWARD HANNA REAL ESTATE","$264,900",4,3,"1,339"
"17 Oak Avenue, Highland Falls, NY 10928",LISTING BY: RE/MAX CLASSIC REALTY,"$424,900",4,2,"1,792"
"1573 Chili Ave, Rochester, NY 14624","MLS ID #R1525409, LISTING BY: RE/MAX PLUS","$127,500",3,2,"1,328"
"345 Brown Settlement Road, Livingston Manor, NY 12758",LISTING BY: RM FARM REAL ESTATE,"$725,000",2,2,684
"77 Oakland Avenue, Gloversville, NY 12078",LISTING BY: COLDWELL BANKER PRIME PROP,"$279,900",4,3,"3,200"
"15 N Emerson Avenue, Copiague, NY 11726",LISTING BY: FAIRWAY HOMES INC,"$529,999",4,2,"1,842"
"4788 N Y   Route  81, Greenville, NY 12083",LISTING BY: ALBANY SHAKER REAL ESTATE,"$169,000",3,3,"1,071"
"137 Waverly St, Buffalo, NY 14208","MLS ID #B1526897, LISTING BY: HOWARD HANNA WNY INC.","$189,000",3,1,"1,300"
"241-6 137th Ave, Rosedale, NY 11422",LISTING BY: SOWAE CORP,"$250,000",4,2,"1,676"
"110 Main St, Sharon Springs, NY 13459",LISTING BY: EULER RICHARD R,"$79,000",4,2,"2,456"
"48 Chapin St, Canandaigua, NY 14424","MLS ID #R1520395, LISTING BY: KELLER WILLIAMS REALTY GATEWAY","$189,900",4,2,"1,968"
